yearID,Rank,G,W,L,R,AB,H,2B,3B,HR,BB,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,FP,BPF,PPF
1871,3,31,20,10,401,1372,426,70,37,3,60,303,109,3.55,22,1,3,828,367,2,42,23,225,0.83,103,98
1871,2,28,19,9,302,1196,323,52,21,10,60,241,77,2.76,25,0,1,753,308,6,28,22,218,0.82,104,102
1871,8,29,10,19,249,1186,328,35,40,7,26,341,116,4.11,23,0,0,762,346,13,53,34,223,0.81,96,100
1871,7,19,7,12,137,746,178,19,8,2,33,243,97,5.17,19,1,0,507,261,5,21,17,163,0.8,101,107
1871,5,33,16,17,302,1404,403,43,21,1,33,313,121,3.72,32,1,0,879,373,7,42,22,227,0.83,90,88
1871,1,28,21,7,376,1281,410,66,27,9,46,266,137,4.95,27,0,0,747,329,3,53,16,194,0.84,102,98
1871,9,25,4,21,231,1036,274,44,25,3,38,287,108,4.3,23,1,0,678,315,3,34,16,220,0.82,97,99
1871,6,29,13,15,351,1248,384,51,34,6,49,362,153,5.51,28,0,0,750,431,4,75,12,198,0.84,101,100
1871,4,32,15,15,310,1353,375,54,26,6,48,303,137,4.37,32,0,0,846,371,4,45,13,217,0.85,94,98
1872,2,58,35,19,617,2576,747,94,35,14,27,434,173,3.02,48,1,1,1545,566,3,63,0,432,0.82,106,102
1872,9,29,3,26,152,1075,235,26,6,0,14,413,165,5.73,28,0,0,777,503,6,24,0,278,0.79,87,96
1872,6,37,9,28,237,1466,370,46,10,0,19,473,189,5.06,37,0,0,1008,561,6,19,0,358,0.81,115,122
1872,1,48,39,8,521,2137,677,114,31,7,28,236,95,1.99,41,3,1,1290,438,0,27,0,263,0.87,105,100
1872,7,22,6,16,174,935,272,37,6,0,17,254,101,4.57,15,0,0,597,289,6,24,0,168,0.82,96,100
1872,8,24,5,19,220,1014,305,31,8,1,5,348,140,5.97,22,0,0,633,368,5,13,0,224,0.8,98,103
1872,3,56,34,20,523,2423,668,86,13,4,55,362,145,2.55,54,3,0,1536,618,2,32,0,326,0.86,93,92
1872,4,47,30,14,539,2140,678,77,23,4,69,349,140,3.01,47,1,0,1257,513,3,26,0,298,0.85,102,100
1872,5,25,15,10,273,1124,329,56,11,5,7,191,77,3.08,17,2,0,675,282,2,10,0,144,0.86,101,100
1872,10,9,2,7,54,363,93,12,3,0,4,140,56,6.38,9,0,0,237,147,0,5,0,96,0.78,94,98
1872,11,11,0,11,80,460,105,3,2,0,1,190,76,6.91,11,0,0,297,194,2,3,0,100,0.76,129,141
1873,3,57,34,22,644,2563,810,119,39,12,40,451,170,3.01,55,1,0,1524,680,4,42,34,366,0.85,101,102
1873,9,6,0,6,26,211,33,5,0,0,0,152,48,8,6,0,0,162,144,4,0,0,70,0.76,77,99
1873,6,55,17,37,366,2210,588,60,27,6,53,549,221,3.98,52,1,0,1500,737,8,42,15,505,0.82,90,94
