markers,,,A07_BSxEL 3.CEL,A08_BSxEL 11.CEL,A09_BSxEL 19.CEL,A10_BSxEL 27.CEL,A11_BSxEL 36.CEL,A12_BSxEL 44.CEL,B07_BSxEL 4.CEL,B09_BSxEL 20.CEL,B10_BSxEL 28.CEL,B11_BSxEL 37.CEL,B12_BSxEL 45.CEL,C07_BSxEL 5.CEL
AX-89786376:phr:np,1,0.0,ab,aa,aa,aa,ab,aa,aa,aa,ab,ab,ab,aa
AX-89883563:phr:np,1,2.085,ab,aa,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa
AX-89856383:nmh:lm,1,2.085,ab,aa,-,ab,ab,aa,aa,aa,ab,ab,-,aa
AX-89824974:nmh:np,1,4.169,ab,aa,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa
AX-89867911:phr:np,1,6.254,ab,aa,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa
AX-89826285:nmh:np,1,10.43,ab,aa,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa
AX-89824763:nmh:np,1,14.606,ab,aa,aa,aa,-,aa,aa,aa,ab,ab,ab,aa
AX-89825345:nmh:np,1,16.691,ab,aa,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa
AX-89826104:nmh:lm,1,16.691,ab,aa,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa
AX-89883358:nmh:np,1,18.775,-,aa,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa
AX-89881686:nmh:np,1,25.058,-,aa,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa
AX-89789867:nmh:np,1,27.143,ab,aa,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa
AX-89826030:nmh:np,1,33.426,ab,aa,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa
AX-89786153:nmh:np,1,35.51,ab,aa,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa
AX-89788016:nmh:np,1,37.595,ab,aa,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa
AX-89784825:nmh:np,1,39.679,ab,aa,aa,ab,ab,aa,aa,aa,ab,ab,-,aa
AX-89908070:nmh:lm,1,44.117,ab,aa,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa
AX-89827053:nmh:lm,1,48.032,ab,aa,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa
AX-89879339:nmh:np,1,50.117,ab,aa,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa
AX-89852115:nmh:lm,1,50.117,ab,aa,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa
AX-89879402:phr:np,1,52.201,ab,aa,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa
AX-89879494:nmh:lm,1,52.201,ab,aa,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa
AX-89881253:nmh:lm,1,58.484,ab,aa,aa,ab,ab,ab,aa,aa,ab,ab,ab,aa
AX-89824086:nmh:np,1,62.661,aa,aa,aa,ab,ab,ab,aa,aa,ab,ab,-,aa
AX-89784291:nmh:np,1,64.745,ab,aa,aa,ab,ab,ab,aa,aa,ab,ab,ab,aa
AX-89824307:nmh:lm,1,64.745,ab,aa,aa,ab,ab,ab,aa,aa,ab,ab,ab,aa
AX-89863127:nmh:np,1,68.922,ab,aa,aa,ab,ab,ab,aa,aa,ab,ab,ab,aa
AX-89855810:nmh:lm,1,68.922,ab,aa,aa,ab,ab,ab,aa,aa,ab,ab,ab,aa
AX-89825678:nmh:np,1,71.006,ab,aa,aa,ab,ab,ab,aa,aa,ab,ab,ab,aa
AX-89785815:nmh:lm,1,71.006,ab,aa,aa,ab,ab,ab,aa,-,ab,ab,ab,aa
AX-89863299:nmh:lm,1,75.182,ab,aa,aa,ab,ab,ab,aa,aa,ab,ab,ab,aa
AX-89792168:nmh:np,1,77.267,ab,aa,aa,ab,ab,ab,aa,aa,ab,ab,ab,aa
AX-89825987:nmh:lm,1,77.267,ab,aa,aa,ab,ab,ab,aa,aa,ab,ab,ab,aa
AX-89827849:phr:np,1,79.352,ab,aa,aa,ab,ab,ab,aa,aa,ab,ab,ab,aa
AX-89825893:nmh:lm,1,79.352,ab,aa,aa,ab,ab,ab,aa,aa,ab,ab,ab,aa
AX-89852225:nmh:lm,1,81.436,ab,aa,aa,ab,ab,ab,aa,aa,ab,ab,ab,aa
AX-89828025:phr:np,1,81.436,ab,aa,aa,ab,ab,ab,aa,aa,ab,ab,ab,aa
AX-89912656:nmh:lm,1,83.521,ab,aa,aa,ab,ab,ab,aa,aa,ab,ab,ab,aa
AX-89827763:nmh:np,1,83.521,ab,aa,aa,ab,ab,ab,aa,aa,ab,ab,ab,aa
AX-89827616:nmh:np,1,85.605,ab,aa,aa,ab,ab,ab,aa,aa,ab,ab,ab,aa
AX-89884870:nmh:np,1,90.357,-,aa,aa,aa,ab,ab,aa,aa,ab,ab,ab,aa
AX-89835172:phr:np,2,0.0,aa,aa,ab,aa,aa,aa,aa,ab,aa,aa,aa,aa
AX-89832920:phr:np,2,3.597,aa,aa,ab,aa,aa,aa,aa,ab,aa,aa,aa,aa
AX-89804798:nmh:np,2,5.682,aa,aa,ab,aa,aa,aa,aa,ab,aa,aa,aa,aa
AX-89835222:phr:np,2,7.766,aa,aa,ab,aa,aa,aa,aa,ab,aa,aa,aa,aa
AX-89804977:phr:np,2,9.851,aa,aa,ab,aa,aa,aa,aa,ab,aa,aa,aa,aa
AX-89857928:nmh:lm,2,9.851,aa,aa,ab,aa,aa,aa,aa,ab,aa,aa,aa,aa
AX-89891903:phr:np,2,11.935,aa,aa,ab,aa,aa,aa,aa,ab,aa,aa,aa,aa
AX-89849244:phr:np,2,14.02,aa,aa,ab,aa,aa,aa,aa,ab,aa,aa,aa,aa
AX-89779778:phr:np,2,16.104,aa,ab,ab,aa,aa,aa,aa,ab,aa,aa,aa,aa
AX-89862687:phr:np,2,20.281,aa,ab,ab,aa,aa,aa,aa,ab,aa,aa,aa,aa
AX-89849165:phr:np,2,24.457,aa,ab,ab,ab,aa,aa,aa,ab,aa,aa,aa,aa
AX-89905696:phr:np,2,26.542,aa,ab,ab,ab,aa,aa,aa,ab,aa,aa,aa,aa
AX-89905714:phr:np,2,28.626,aa,ab,ab,ab,aa,aa,aa,ab,aa,ab,aa,aa
AX-89834349:nmh:lm,2,28.626,aa,ab,ab,ab,aa,aa,aa,ab,aa,ab,aa,aa
AX-89849198:nmh:np,2,30.711,aa,ab,ab,ab,aa,aa,aa,ab,aa,ab,aa,aa
AX-89891513:nmh:np,2,32.795,aa,ab,ab,ab,aa,aa,aa,ab,aa,ab,aa,aa
AX-89834315:nmh:np,2,34.88,aa,ab,ab,ab,aa,aa,aa,ab,aa,ab,aa,aa
AX-89890304:nmh:np,2,36.964,aa,ab,ab,ab,aa,aa,aa,ab,aa,ab,aa,aa
AX-89863898:nmh:np,2,41.141,aa,ab,ab,ab,aa,aa,aa,ab,aa,ab,aa,aa
AX-89793897:nmh:np,2,45.317,aa,ab,ab,ab,aa,aa,aa,ab,aa,ab,aa,aa
AX-89792507:phr:np,2,47.402,aa,ab,ab,ab,aa,aa,aa,ab,aa,ab,aa,aa
AX-89849009:nmh:lm,2,47.402,aa,ab,ab,ab,aa,aa,aa,ab,aa,ab,aa,aa
AX-89792772:nmh:np,2,50.542,aa,-,ab,ab,aa,aa,aa,ab,aa,ab,aa,aa
AX-89833318:nmh:np,2,55.758,aa,aa,ab,ab,aa,aa,aa,ab,aa,ab,aa,aa
AX-89833277:nmh:np,2,59.934,ab,aa,ab,ab,aa,aa,aa,-,aa,ab,aa,aa
AX-89905514:nmh:np,2,62.019,aa,aa,ab,ab,aa,aa,aa,ab,aa,ab,aa,aa
AX-89833391:nmh:np,2,66.195,aa,aa,ab,ab,aa,aa,aa,ab,aa,ab,aa,aa
AX-89905524:nmh:np,2,68.28,aa,aa,ab,ab,aa,aa,aa,ab,aa,ab,aa,aa
AX-89889664:nmh:np,2,70.364,aa,aa,ab,ab,aa,aa,aa,ab,aa,ab,ab,aa
AX-89832401:nmh:lm,2,70.364,aa,aa,ab,ab,aa,aa,aa,ab,aa,ab,ab,aa
AX-89889915:phr:np,2,74.54,ab,aa,ab,ab,aa,aa,aa,ab,aa,ab,ab,aa
AX-89889943:nmh:lm,2,74.54,ab,aa,ab,ab,aa,aa,aa,ab,aa,ab,ab,aa
AX-89889986:phr:np,2,78.717,ab,aa,ab,ab,aa,aa,aa,ab,aa,ab,ab,aa
AX-89893915:phr:np,2,80.801,ab,aa,ab,ab,aa,aa,aa,ab,aa,ab,ab,aa
